आजको खबर के छ?	What's the news today?
शनिवार को तयारी गर।	Prepare for Saturday.
आज आइतवार हो।	Today is Sunday.
आइतवार मेरो काम को दिन हो।	Sunday is my working day.
मैं आइतवार को दिन विदा हुन्छु।	I have a holiday on Sunday.
आइतवार को तयारी गर।	Prepare for Sunday.
काठमाडौँ कस्तो छ?	What is Kathmandu like?
मैं काठमाडौँमा गएको छु।	I have been to Kathmandu.
काठमाडौँमा के छ?	What is in Kathmandu?
काठमाडौँ कति दूर छ?	How far is Kathmandu?
काठमाडौँको मौसम कस्तो हुन्छ?	What is the weather like in Kathmandu?
पोखरा कस्तो छ?	What is Pokhara like?
मैं पोखरामा गएको छु।	I have been to Pokhara.
पोखरामा के छ?	What is in Pokhara?
पोखरा कति दूर छ?	How far is Pokhara?
पोखराको मौसम कस्तो हुन्छ?	What is the weather like in Pokhara?
बिरगञ्ज कस्तो छ?	What is Birgunj like?
मैं बिरगञ्जमा गएको छु।	I have been to Birgunj.
बिरगञ्जमा के छ?	What is in Birgunj?
बिरगञ्ज कति दूर छ?	How far is Birgunj?
बिरगञ्जको मौसम कस्तो हुन्छ?	What is the weather like in Birgunj?
नेपलगञ्ज कस्तो छ?	What is Nepalgunj like?
मैं नेपलगञ्जमा गएको छु।	I have been to Nepalgunj.
नेपलगञ्जमा के छ?	What is in Nepalgunj?
नेपलगञ्ज कति दूर छ?	How far is Nepalgunj?
नेपलगञ्जको मौसम कस्तो हुन्छ?	What is the weather like in Nepalgunj?
जनकपुर कस्तो छ?	What is Janakpur like?
मैं जनकपुरमा गएको छु।	I have been to Janakpur.
जनकपुरमा के छ?	What is in Janakpur?
जनकपुर कति दूर छ?	How far is Janakpur?
जनकपुरको मौसम कस्तो हुन्छ?	What is the weather like in Janakpur?
भक्तपुर कस्तो छ?	What is Bhaktapur like?
मैं भक्तपुरमा गएको छु।	I have been to Bhaktapur.
भक्तपुरमा के छ?	What is in Bhaktapur?
भक्तपुर कति दूर छ?	How far is Bhaktapur?
भक्तपुरको मौसम कस्तो हुन्छ?	What is the weather like in Bhaktapur?
ललितपुर कस्तो छ?	What is Lalitpur like?
मैं ललितपुरमा गएको छु।	I have been to Lalitpur.
ललितपुरमा के छ?	What is in Lalitpur?
ललितपुर कति दूर छ?	How far is Lalitpur?
ललितपुरको मौसम कस्तो हुन्छ?	What is the weather like in Lalitpur?
दिपायल कस्तो छ?	What is Dipayal like?
मैं दिपायलमा गएको छु।	I have been to Dipayal.
दिपायलमा के छ?	What is in Dipayal?
दिपायल कति दूर छ?	How far is Dipayal?
दिपायलको मौसम कस्तो हुन्छ?	What is the weather like in Dipayal?
टनहुँ कस्तो छ?	What is Tanahu like?
मैं टनहुँमा गएको छु।	I have been to Tanahu.
टनहुँमा के छ?	What is in Tanahu?
टनहुँ कति दूर छ?	How far is Tanahu?
टनहुँको मौसम कस्तो हुन्छ?	What is the weather like in Tanahu?
मौसम राम्रो छ।	The weather is nice.
आज राम्रो दिन हो।	Today is a nice day.
कस्तो राम्रो हुन्छ?	How nice is it?
मलाई राम्रो मौसम मनपर्छ।	I like nice weather.
मौसम खराब छ।	The weather is bad.
आज खराब दिन हो।	Today is a bad day.
कस्तो खराब हुन्छ?	How bad is it?
मलाई खराब मौसम मनपर्छ।	I like bad weather.
मौसम गर्म छ।	The weather is hot.
आज गर्म दिन हो।	Today is a hot day.
कस्तो गर्म हुन्छ?	How hot is it?
मलाई गर्म मौसम मनपर्छ।	I like hot weather.
मौसम चिसो छ।	The weather is cold.
आज चिसो दिन हो।	Today is a cold day.
कस्तो चिसो हुन्छ?	How cold is it?
मलाई चिसो मौसम मनपर्छ।	I like cold weather.
मौसम बर्षात् छ।	The weather is rainy.
आज बर्षात् दिन हो।	Today is a rainy day.
कस्तो बर्षात् हुन्छ?	How rainy is it?
मलाई बर्षात् मौसम मनपर्छ।	I like rainy weather.
मौसम सनी छ।	The weather is sunny.
आज सनी दिन हो।	Today is a sunny day.
कस्तो सनी हुन्छ?	How sunny is it?
मलाई सनी मौसम मनपर्छ।	I like sunny weather.
यो मोमो कस्तो छ?	How is this momo?
मलाई मोमो मनपर्छ।	I like momo.
यो मोमो साँच्चै स्वादिलो छ।	This momo is really tasty.
मोमो बनाउन कति समय लाग्छ?	How long does it take to prepare momo?
यो दाल भात कस्तो छ?	How is this dal rice?
मलाई दाल भात मनपर्छ।	I like dal rice.
यो दाल भात साँच्चै स्वादिलो छ।	This dal rice is really tasty.
दाल भात बनाउन कति समय लाग्छ?	How long does it take to prepare dal rice?
यो छोयला कस्तो छ?	How is this choila?
मलाई छोयला मनपर्छ।	I like choila.
यो छोयला साँच्चै स्वादिलो छ।	This choila is really tasty.
छोयला बनाउन कति समय लाग्छ?	How long does it take to prepare choila?
यो सुकुटी कस्तो छ?	How is this sukuti?
मलाई सुकुटी मनपर्छ।	I like sukuti.
यो सुकुटी साँच्चै स्वादिलो छ।	This sukuti is really tasty.
सुकुटी बनाउन कति समय लाग्छ?	How long does it take to prepare sukuti?
यो अछार कस्तो छ?	How is this pickle?
मलाई अछार मनपर्छ।	I like pickle.
यो अछार साँच्चै स्वादिलो छ।	This pickle is really tasty.
अछार बनाउन कति समय लाग्छ?	How long does it take to prepare pickle?
यो तरकारी कस्तो छ?	How is this vegetable?
मलाई तरकारी मनपर्छ।	I like vegetable.
यो तरकारी साँच्चै स्वादिलो छ।	This vegetable is really tasty.
तरकारी बनाउन कति समय लाग्छ?	How long does it take to prepare vegetable?
यो रोटी कस्तो छ?	How is this bread?
मलाई रोटी मनपर्छ।	I like bread.
यो रोटी साँच्चै स्वादिलो छ।	This bread is really tasty.
रोटी बनाउन कति समय लाग्छ?	How long does it take to prepare bread?
यो चिया कस्तो छ?	How is this tea?
मलाई चिया मनपर्छ।	I like tea.
यो चिया साँच्चै स्वादिलो छ।	This tea is really tasty.
चिया बनाउन कति समय लाग्छ?	How long does it take to prepare tea?
यो कफी कस्तो छ?	How is this coffee?
मलाई कफी मनपर्छ।	I like coffee.
यो कफी साँच्चै स्वादिलो छ।	This coffee is really tasty.
कफी बनाउन कति समय लाग्छ?	How long does it take to prepare coffee?
राज को नाम एक शिक्षक हो।	राज's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
राज शिक्षकको रूपमा काम गरिरहेको छ।	राज is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
राज को नाम एक इञ्जिनियर हो।	राज's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
राज इञ्जिनियरको रूपमा काम गरिरहेको छ।	राज is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
राज को नाम एक डाक्टर हो।	राज's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
राज डाक्टरको रूपमा काम गरिरहेको छ।	राज is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
राज को नाम एक वकील हो।	राज's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
राज वकीलको रूपमा काम गरिरहेको छ।	राज is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
राज को नाम एक बैंकर हो।	राज's name is a banker.
मै बैंकर हुँ।	I am a banker.
राज बैंकरको रूपमा काम गरिरहेको छ।	राज is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
राज को नाम एक कृषक हो।	राज's name is a farmer.
मै कृषक हुँ।	I am a farmer.
राज कृषकको रूपमा काम गरिरहेको छ।	राज is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
राज को नाम एक व्यापारी हो।	राज's name is a trader.
मै व्यापारी हुँ।	I am a trader.
राज व्यापारीको रूपमा काम गरिरहेको छ।	राज is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
राज को नाम एक सफा्टवेयर इञ्जिनियर हो।	राज's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
राज सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	राज is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
प्रिया को नाम एक शिक्षक हो।	प्रिया's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
प्रिया शिक्षकको रूपमा काम गरिरहेको छ।	प्रिया is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
प्रिया को नाम एक इञ्जिनियर हो।	प्रिया's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
प्रिया इञ्जिनियरको रूपमा काम गरिरहेको छ।	प्रिया is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
प्रिया को नाम एक डाक्टर हो।	प्रिया's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
प्रिया डाक्टरको रूपमा काम गरिरहेको छ।	प्रिया is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
प्रिया को नाम एक वकील हो।	प्रिया's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
प्रिया वकीलको रूपमा काम गरिरहेको छ।	प्रिया is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
प्रिया को नाम एक बैंकर हो।	प्रिया's name is a banker.
मै बैंकर हुँ।	I am a banker.
प्रिया बैंकरको रूपमा काम गरिरहेको छ।	प्रिया is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
प्रिया को नाम एक कृषक हो।	प्रिया's name is a farmer.
मै कृषक हुँ।	I am a farmer.
प्रिया कृषकको रूपमा काम गरिरहेको छ।	प्रिया is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
प्रिया को नाम एक व्यापारी हो।	प्रिया's name is a trader.
मै व्यापारी हुँ।	I am a trader.
प्रिया व्यापारीको रूपमा काम गरिरहेको छ।	प्रिया is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
प्रिया को नाम एक सफा्टवेयर इञ्जिनियर हो।	प्रिया's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
प्रिया सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	प्रिया is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
अमित को नाम एक शिक्षक हो।	अमित's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
अमित शिक्षकको रूपमा काम गरिरहेको छ।	अमित is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
अमित को नाम एक इञ्जिनियर हो।	अमित's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
अमित इञ्जिनियरको रूपमा काम गरिरहेको छ।	अमित is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
अमित को नाम एक डाक्टर हो।	अमित's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
अमित डाक्टरको रूपमा काम गरिरहेको छ।	अमित is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
अमित को नाम एक वकील हो।	अमित's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
अमित वकीलको रूपमा काम गरिरहेको छ।	अमित is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
अमित को नाम एक बैंकर हो।	अमित's name is a banker.
मै बैंकर हुँ।	I am a banker.
अमित बैंकरको रूपमा काम गरिरहेको छ।	अमित is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
अमित को नाम एक कृषक हो।	अमित's name is a farmer.
मै कृषक हुँ।	I am a farmer.
अमित कृषकको रूपमा काम गरिरहेको छ।	अमित is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
अमित को नाम एक व्यापारी हो।	अमित's name is a trader.
मै व्यापारी हुँ।	I am a trader.
अमित व्यापारीको रूपमा काम गरिरहेको छ।	अमित is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
अमित को नाम एक सफा्टवेयर इञ्जिनियर हो।	अमित's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
अमित सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	अमित is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
संजना को नाम एक शिक्षक हो।	संजना's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
संजना शिक्षकको रूपमा काम गरिरहेको छ।	संजना is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
संजना को नाम एक इञ्जिनियर हो।	संजना's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
संजना इञ्जिनियरको रूपमा काम गरिरहेको छ।	संजना is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
संजना को नाम एक डाक्टर हो।	संजना's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
संजना डाक्टरको रूपमा काम गरिरहेको छ।	संजना is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
संजना को नाम एक वकील हो।	संजना's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
संजना वकीलको रूपमा काम गरिरहेको छ।	संजना is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
संजना को नाम एक बैंकर हो।	संजना's name is a banker.
मै बैंकर हुँ।	I am a banker.
संजना बैंकरको रूपमा काम गरिरहेको छ।	संजना is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
संजना को नाम एक कृषक हो।	संजना's name is a farmer.
मै कृषक हुँ।	I am a farmer.
संजना कृषकको रूपमा काम गरिरहेको छ।	संजना is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
संजना को नाम एक व्यापारी हो।	संजना's name is a trader.
मै व्यापारी हुँ।	I am a trader.
संजना व्यापारीको रूपमा काम गरिरहेको छ।	संजना is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
संजना को नाम एक सफा्टवेयर इञ्जिनियर हो।	संजना's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
संजना सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	संजना is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
विक्रम को नाम एक शिक्षक हो।	विक्रम's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
विक्रम शिक्षकको रूपमा काम गरिरहेको छ।	विक्रम is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
विक्रम को नाम एक इञ्जिनियर हो।	विक्रम's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
विक्रम इञ्जिनियरको रूपमा काम गरिरहेको छ।	विक्रम is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
विक्रम को नाम एक डाक्टर हो।	विक्रम's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
विक्रम डाक्टरको रूपमा काम गरिरहेको छ।	विक्रम is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
विक्रम को नाम एक वकील हो।	विक्रम's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
विक्रम वकीलको रूपमा काम गरिरहेको छ।	विक्रम is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
विक्रम को नाम एक बैंकर हो।	विक्रम's name is a banker.
मै बैंकर हुँ।	I am a banker.
विक्रम बैंकरको रूपमा काम गरिरहेको छ।	विक्रम is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
विक्रम को नाम एक कृषक हो।	विक्रम's name is a farmer.
मै कृषक हुँ।	I am a farmer.
विक्रम कृषकको रूपमा काम गरिरहेको छ।	विक्रम is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
विक्रम को नाम एक व्यापारी हो।	विक्रम's name is a trader.
मै व्यापारी हुँ।	I am a trader.
विक्रम व्यापारीको रूपमा काम गरिरहेको छ।	विक्रम is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
विक्रम को नाम एक सफा्टवेयर इञ्जिनियर हो।	विक्रम's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
विक्रम सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	विक्रम is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
निशा को नाम एक शिक्षक हो।	निशा's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
निशा शिक्षकको रूपमा काम गरिरहेको छ।	निशा is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
निशा को नाम एक इञ्जिनियर हो।	निशा's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
निशा इञ्जिनियरको रूपमा काम गरिरहेको छ।	निशा is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
निशा को नाम एक डाक्टर हो।	निशा's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
निशा डाक्टरको रूपमा काम गरिरहेको छ।	निशा is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
निशा को नाम एक वकील हो।	निशा's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
निशा वकीलको रूपमा काम गरिरहेको छ।	निशा is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
निशा को नाम एक बैंकर हो।	निशा's name is a banker.
मै बैंकर हुँ।	I am a banker.
निशा बैंकरको रूपमा काम गरिरहेको छ।	निशा is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
निशा को नाम एक कृषक हो।	निशा's name is a farmer.
मै कृषक हुँ।	I am a farmer.
निशा कृषकको रूपमा काम गरिरहेको छ।	निशा is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
निशा को नाम एक व्यापारी हो।	निशा's name is a trader.
मै व्यापारी हुँ।	I am a trader.
निशा व्यापारीको रूपमा काम गरिरहेको छ।	निशा is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
निशा को नाम एक सफा्टवेयर इञ्जिनियर हो।	निशा's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
निशा सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	निशा is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
आर्जुन को नाम एक शिक्षक हो।	आर्जुन's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
आर्जुन शिक्षकको रूपमा काम गरिरहेको छ।	आर्जुन is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
आर्जुन को नाम एक इञ्जिनियर हो।	आर्जुन's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
आर्जुन इञ्जिनियरको रूपमा काम गरिरहेको छ।	आर्जुन is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
आर्जुन को नाम एक डाक्टर हो।	आर्जुन's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
आर्जुन डाक्टरको रूपमा काम गरिरहेको छ।	आर्जुन is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
आर्जुन को नाम एक वकील हो।	आर्जुन's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
आर्जुन वकीलको रूपमा काम गरिरहेको छ।	आर्जुन is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
आर्जुन को नाम एक बैंकर हो।	आर्जुन's name is a banker.
मै बैंकर हुँ।	I am a banker.
आर्जुन बैंकरको रूपमा काम गरिरहेको छ।	आर्जुन is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
आर्जुन को नाम एक कृषक हो।	आर्जुन's name is a farmer.
मै कृषक हुँ।	I am a farmer.
आर्जुन कृषकको रूपमा काम गरिरहेको छ।	आर्जुन is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
आर्जुन को नाम एक व्यापारी हो।	आर्जुन's name is a trader.
मै व्यापारी हुँ।	I am a trader.
आर्जुन व्यापारीको रूपमा काम गरिरहेको छ।	आर्जुन is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
आर्जुन को नाम एक सफा्टवेयर इञ्जिनियर हो।	आर्जुन's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
आर्जुन सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	आर्जुन is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
दीक्षा को नाम एक शिक्षक हो।	दीक्षा's name is a teacher.
मै शिक्षक हुँ।	I am a teacher.
दीक्षा शिक्षकको रूपमा काम गरिरहेको छ।	दीक्षा is working as a teacher.
शिक्षक को काम साँच्चै कठिन हो।	The work of a teacher is really hard.
दीक्षा को नाम एक इञ्जिनियर हो।	दीक्षा's name is a engineer.
मै इञ्जिनियर हुँ।	I am a engineer.
दीक्षा इञ्जिनियरको रूपमा काम गरिरहेको छ।	दीक्षा is working as a engineer.
इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a engineer is really hard.
दीक्षा को नाम एक डाक्टर हो।	दीक्षा's name is a doctor.
मै डाक्टर हुँ।	I am a doctor.
दीक्षा डाक्टरको रूपमा काम गरिरहेको छ।	दीक्षा is working as a doctor.
डाक्टर को काम साँच्चै कठिन हो।	The work of a doctor is really hard.
दीक्षा को नाम एक वकील हो।	दीक्षा's name is a lawyer.
मै वकील हुँ।	I am a lawyer.
दीक्षा वकीलको रूपमा काम गरिरहेको छ।	दीक्षा is working as a lawyer.
वकील को काम साँच्चै कठिन हो।	The work of a lawyer is really hard.
दीक्षा को नाम एक बैंकर हो।	दीक्षा's name is a banker.
मै बैंकर हुँ।	I am a banker.
दीक्षा बैंकरको रूपमा काम गरिरहेको छ।	दीक्षा is working as a banker.
बैंकर को काम साँच्चै कठिन हो।	The work of a banker is really hard.
दीक्षा को नाम एक कृषक हो।	दीक्षा's name is a farmer.
मै कृषक हुँ।	I am a farmer.
दीक्षा कृषकको रूपमा काम गरिरहेको छ।	दीक्षा is working as a farmer.
कृषक को काम साँच्चै कठिन हो।	The work of a farmer is really hard.
दीक्षा को नाम एक व्यापारी हो।	दीक्षा's name is a trader.
मै व्यापारी हुँ।	I am a trader.
दीक्षा व्यापारीको रूपमा काम गरिरहेको छ।	दीक्षा is working as a trader.
व्यापारी को काम साँच्चै कठिन हो।	The work of a trader is really hard.
दीक्षा को नाम एक सफा्टवेयर इञ्जिनियर हो।	दीक्षा's name is a software engineer.
मै सफा्टवेयर इञ्जिनियर हुँ।	I am a software engineer.
दीक्षा सफा्टवेयर इञ्जिनियरको रूपमा काम गरिरहेको छ।	दीक्षा is working as a software engineer.
सफा्टवेयर इञ्जिनियर को काम साँच्चै कठिन हो।	The work of a software engineer is really hard.
मेरो बाबा राज हुन्।	My father is राज.
राज मेरो बाबा हो।	राज is my father.
तपाइँको बाबा कहाँ हुनुहुन्छ?	Where is your father?
मेरो बाबा घरमा छन्।	My father is at home.
मेरो बाबा प्रिया हुन्।	My father is प्रिया.
प्रिया मेरो बाबा हो।	प्रिया is my father.
तपाइँको बाबा कहाँ हुनुहुन्छ?	Where is your father?
मेरो बाबा घरमा छन्।	My father is at home.
मेरो बाबा अमित हुन्।	My father is अमित.
अमित मेरो बाबा हो।	अमित is my father.
तपाइँको बाबा कहाँ हुनुहुन्छ?	Where is your father?
मेरो बाबा घरमा छन्।	My father is at home.
मेरो बाबा संजना हुन्।	My father is संजना.
संजना मेरो बाबा हो।	संजना is my father.
तपाइँको बाबा कहाँ हुनुहुन्छ?	Where is your father?
मेरो बाबा घरमा छन्।	My father is at home.
मेरो बाबा विक्रम हुन्।	My father is विक्रम.
विक्रम मेरो बाबा हो।	विक्रम is my father.
तपाइँको बाबा कहाँ हुनुहुन्छ?	Where is your father?
मेरो बाबा घरमा छन्।	My father is at home.
मेरो बाबा निशा हुन्।	My father is निशा.
निशा मेरो बाबा हो।	निशा is my father.
तपाइँको बाबा कहाँ हुनुहुन्छ?	Where is your father?
मेरो बाबा घरमा छन्।	My father is at home.
मेरो आमा राज हुन्।	My mother is राज.
राज मेरो आमा हो।	राज is my mother.
तपाइँको आमा कहाँ हुनुहुन्छ?	Where is your mother?
मेरो आमा घरमा छन्।	My mother is at home.
मेरो आमा प्रिया हुन्।	My mother is प्रिया.
प्रिया मेरो आमा हो।	प्रिया is my mother.
तपाइँको आमा कहाँ हुनुहुन्छ?	Where is your mother?
मेरो आमा घरमा छन्।	My mother is at home.
मेरो आमा अमित हुन्।	My mother is अमित.
अमित मेरो आमा हो।	अमित is my mother.
तपाइँको आमा कहाँ हुनुहुन्छ?	Where is your mother?
मेरो आमा घरमा छन्।	My mother is at home.
मेरो आमा संजना हुन्।	My mother is संजना.
संजना मेरो आमा हो।	संजना is my mother.
तपाइँको आमा कहाँ हुनुहुन्छ?	Where is your mother?
मेरो आमा घरमा छन्।	My mother is at home.
मेरो आमा विक्रम हुन्।	My mother is विक्रम.
विक्रम मेरो आमा हो।	विक्रम is my mother.
तपाइँको आमा कहाँ हुनुहुन्छ?	Where is your mother?
मेरो आमा घरमा छन्।	My mother is at home.
मेरो आमा निशा हुन्।	My mother is निशा.
निशा मेरो आमा हो।	निशा is my mother.
तपाइँको आमा कहाँ हुनुहुन्छ?	Where is your mother?
मेरो आमा घरमा छन्।	My mother is at home.
मेरो दाजु राज हुन्।	My elder brother is राज.
राज मेरो दाजु हो।	राज is my elder brother.
तपाइँको दाजु कहाँ हुनुहुन्छ?	Where is your elder brother?
मेरो दाजु घरमा छन्।	My elder brother is at home.
मेरो दाजु प्रिया हुन्।	My elder brother is प्रिया.
प्रिया मेरो दाजु हो।	प्रिया is my elder brother.
तपाइँको दाजु कहाँ हुनुहुन्छ?	Where is your elder brother?
मेरो दाजु घरमा छन्।	My elder brother is at home.
मेरो दाजु अमित हुन्।	My elder brother is अमित.
अमित मेरो दाजु हो।	अमित is my elder brother.
तपाइँको दाजु कहाँ हुनुहुन्छ?	Where is your elder brother?
मेरो दाजु घरमा छन्।	My elder brother is at home.
मेरो दाजु संजना हुन्।	My elder brother is संजना.
संजना मेरो दाजु हो।	संजना is my elder brother.
तपाइँको दाजु कहाँ हुनुहुन्छ?	Where is your elder brother?
मेरो दाजु घरमा छन्।	My elder brother is at home.
मेरो दाजु विक्रम हुन्।	My elder brother is विक्रम.
विक्रम मेरो दाजु हो।	विक्रम is my elder brother.
तपाइँको दाजु कहाँ हुनुहुन्छ?	Where is your elder brother?
मेरो दाजु घरमा छन्।	My elder brother is at home.
मेरो दाजु निशा हुन्।	My elder brother is निशा.
निशा मेरो दाजु हो।	निशा is my elder brother.
तपाइँको दाजु कहाँ हुनुहुन्छ?	Where is your elder brother?
मेरो दाजु घरमा छन्।	My elder brother is at home.
मेरो साथु राज हुन्।	My brother is राज.
राज मेरो साथु हो।	राज is my brother.
